url,UN/LOCODE,country,UN_code,ISO2,ISO3,city_or_location,port_name,local_port_name,lat,lon,authority_name,address,phone,fax,website,email
https://psma-gies.fao.org/designated-ports/view/60f7b79f-a05f-482c-a749-3b6af799d87d,–,Spain,724,ES,ESP,COMUNIDAD VALENCIANA,ALICANTE,–,N38°19'50'',W0°30'25'',"SUBDIRECCIÓN GENERAL DE VIGILANCIA PESQUERA Y LUCHA CONTRA LA PESCA ILEGAL  (SECRETARIA GENERAL DE PESCA) MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",Calle Velázquez nº147 28071 - Madrid España,+34 913471949,913471512,–,iuu_slo_esp@mapama.es
https://psma-gies.fao.org/designated-ports/view/a482faac-1547-484f-b7ab-e84085513313,–,Spain,724,ES,ESP,ANDALUCIA,ALMERÍA,–,N36°50'15'',W2°28'52'',"SUBDIRECCIÓN GENERAL DE VIGILANCIA PESQUERA Y LUCHA CONTRA LA PESCA ILEGAL (SECRETARIA GENERAL DE PESCA) MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",Calle Velázquez nº147 28071 - Madrid España,+34 913471949,+34 913471512,–,iuu_slo_esp@mapama.es
https://psma-gies.fao.org/designated-ports/view/18e45d0f-d3bd-4601-83e7-47464bc6e846,–,Papua New Guinea,598,PG,PNG,ALOTAU,ALOTAU,ALOTAU,S10°15'45'',E150°26'59'',PNG PORTS CORPORATION LIMITED,"P. O.BOX 2016
PORT MORESBY
NATIONAL FISHERIES AUTHORITY
PAPUA NEW GUINEA",+675 3090444,+675 3090461,www.fisheries.gov.pg,nfa@fisheries.gov.pg
https://psma-gies.fao.org/designated-ports/view/9c85e4f5-3c59-49e4-8adc-d2385285dbbb,–,Sao Tome and Principe,678,ST,STP,Sao Tome city,Ana Chaves,–,N0°20'5'',E6°46'0'',National Ports Enterprise (ENAPORT),"Largo das Alfândegas - Empresa Nacional dos Portos (ENAPORT), P.O. Box 437 - Sao Tome",+239 9904683,+239 2224949,–,jpessoa61@hotmail.com
https://psma-gies.fao.org/designated-ports/view/d20b7612-75ea-4bbc-b8cb-cdb91c498be6,–,Italy,380,IT,ITA,Ancona,Ancona,–,–,–,Direzione Marittima di Ancona,via Banchina Nazario Sauro - 60121 Ancona (AN),+39 071227581,–,–,ancona@guardiacostiera.it
https://psma-gies.fao.org/designated-ports/view/97f98cee-d34d-4ebc-8f35-81e12bfd2772,–,Norway,578,NO,NOR,Andenes,Andenes,–,–,–,–,–,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/2d8b8b48-4768-47a8-8732-7f508e8672aa,–,Myanmar,104,MM,MMR,Yangon,Annawar Aung Port,Annawar Aung Jetty,N16°46'39'',E96°10'49'',Department of Fisheries,"Thidar Seik Street, Pa Zun Taung Township, Yangon",+95 95118457,–,–,fmdnpt@gmail.com
https://psma-gies.fao.org/designated-ports/view/01a127e8-0a5f-4ff0-b4aa-b45d050089ee,–,Madagascar,450,MG,MDG,ANTSIRANANA,Antsiranana,Diego Suarez,S12°16'30'',E49°17'17'',"AGENCE PORTUAIRE, MARITIME ET FLUVIALE (APMF)","Ville basse, Capitainerie du Port B.P. 109",+261 321125744,261,https://www.apmf.mg/,rainimbox@yahoo.fr
https://psma-gies.fao.org/designated-ports/view/e1248f0e-1ab8-4ab7-8e6b-f7911e648ede,–,United States of America,840,US,USA,"Piti, Guam",Apra Harbor,–,N13°24'34'',E144°40'4'',Port Authority of Guam,–,16714775931,16714772689,https://www.portofguam.com/,–
https://psma-gies.fao.org/designated-ports/view/bd321c22-1a84-4b04-bda3-b837283ee20e,–,United Kingdom,826,GB,GBR,Ardglass,Ardglass,–,–,–,–,NIFHA Offices The Harbour Ardglass BT30 7TZ,+44 028 44 841 291,–,–,Kevin.quigly@nifha.co.uk
https://psma-gies.fao.org/designated-ports/view/eff2a09e-5bc5-4e31-a86d-ab41fda06983,–,Canada,124,CA,CAN,4718N 05400W,"Argentia, NL",–,–,–,–,–,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/afd7c7d5-8262-4a20-ae4c-9d4f7f1ce565,–,Chile,152,CL,CHL,ARICA,ARICA,–,–,–,SERVICIO NACIONAL DE PESCA Y ACUICULTURA,"Serrano N° 1856, Pob. Magisterio",+56 (58) 2594771,–,–,vms@sernapesca.cl
https://psma-gies.fao.org/designated-ports/view/1be62f80-acc9-482f-91c8-08c52db1edd7,–,Canada,124,CA,CAN,4531N 06101W,"Arichat, NS",–,–,–,–,–,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/b67f04e2-2c86-49f1-b772-74de4502bb1d,–,Spain,724,ES,ESP,CANARIAS,ARRECIFE (NO PIF),–,–,–,"SUBDIRECCION GENERAL DE VIGILANCIA PESQUERA Y LUCHA CONTRA LA PESCA ILEGAL - SECRETARIA GENERAL DE PESCA - MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACION",C/ Velázquez 147 28071 MADRID ESPAÑA,+34 913471949,–,–,iuu_slo_esp@mapa.es
https://psma-gies.fao.org/designated-ports/view/8e09d8f0-d853-4999-ab70-a058e575d55a,–,Ecuador,218,EC,ECU,MANABÍ,ASTIESMAR,ASTILLERO ESPERANZA DEL MAR C.A. ASTIESMAR,S0°55'55'',W80°40'5'',Pedro Schettini,MANABI / JARAMIJO / JARAMIJO / PRINCIPAL S/N,+593 3700-650,–,–,gerencia@astiesmar.com
https://psma-gies.fao.org/designated-ports/view/b8b7e22c-1866-4175-a614-7a5a326b61d9,–,Ecuador,218,EC,ECU,Guayaquil,ASTILLEROS NAVALES ECUATORIANOS ASTINAVE BASE NAVAL SUR EP,DIQUES DE ASTINAVE,S2°15'59'',W79°54'42'',ING. BYRON BENITO MACHUCA TREJO,BASE NAVAL SUR – ESTERO DEL MUERTO,+593 04 2594560,–,–,comercial@astinave.com.ec
https://psma-gies.fao.org/designated-ports/view/37d09da2-96c6-41bd-8304-09547206d5a2,–,Ecuador,218,EC,ECU,Guayaquil,ASTILLEROS NAVALES ECUATORIANOS ASTINAVE EP,ASTINAVE,S2°12'53'',W79°53'5'',ING. BYRON BENITO MACHUCA TREJO,VACAS GALINDO Y VIVERO-5 DE JUNIO,+593 04 2594560,–,–,comercial@astinave.com.ec
https://psma-gies.fao.org/designated-ports/view/f99c7e2e-dc9d-4255-b2aa-830be7d3cfd2,–,Portugal,620,PT,PRT,Aveiro,Aveiro,–,–,–,"Administração do Porto de Aveiro, SA",Edifício 9 Forte da Barra 3830-565 Gafanha da Nazaré,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/abc9e02f-d61b-4283-8632-f7b6a6698340,–,Libya,434,LY,LBY,TRIPOLI-LIBYA,BAB ALBAHR PORT,BAB ALBAHR PORT,N32°53'44'',E13°11'57'',GENERAL AUTHORTY OF MARINE FISHERY,LIBYA,+218 926121517,+218 922121517,–,did@gam.com.ly
https://psma-gies.fao.org/designated-ports/view/0693dbd9-49e8-4650-98fa-420bc3adc7c3,–,Australia,36,AU,AUS,Norfolk Island,Ball Bay,–,S29°2'51'',E167°59'13'',Norfolk Island Regional Council,–,+61 6723 22244,–,–,customercare@nirc.gov.nf
https://psma-gies.fao.org/designated-ports/view/e0be01f6-16d3-4f5f-9e8a-c3abe3f916ea,–,United Kingdom,826,GB,GBR,Bangor,Bangor (Co. Down),–,–,–,Ards and North Down Borough Council,Quay Marinas Ltd Bangor Harbour Bregenz House Bangor BT20 5ED,+44 02891 453297,–,–,bangormarina@quaymarinas.com
https://psma-gies.fao.org/designated-ports/view/f9af2b11-8de1-4af2-a1fd-b0222a661386,–,Gambia,270,GM,GMB,Banjul Jetty Wharf,Banjul Fisheries Jetty,Jetty,N13°26'32'',W16°34'35'',Gambia Port Authority,34 Liberation Avenue P O Box 617 Banjul Gambia,+220 422 9940,+220 422 9940,–,info@gamport.gm
https://psma-gies.fao.org/designated-ports/view/252fa895-ed59-486a-b57f-2e952e65fa9f,–,Spain,724,ES,ESP,ANDALUCÍA,BARBATE (NO PIF),–,N36°10'46'',W5°55'31'',"SUBDIRECCIÓN GENERAL DE VIGILANCIA PESQUERA Y LUCHA CONTRA LA PESCA ILEGAL  (SECRETARIA GENERAL DE PESCA) MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",Calle Velázquez nº147 28071 - Madrid España,+34 913471949,913471512,–,iuu_slo_esp@mapama.es
https://psma-gies.fao.org/designated-ports/view/4bfe8272-ba56-4035-bdc9-b1147e226b3a,–,Spain,724,ES,ESP,CATALUÑA,BARCELONA,–,N41°22'34'',E2°11'14'',"SUBDIRECCIÓN GENERAL DE VIGILANCIA PESQUERA Y LUCHA CONTRA LA PESCA ILEGAL  (SECRETARIA GENERAL DE PESCA) MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",Calle Velázquez nº147 28071 - Madrid España,+34 913471949,913471512,–,iuu_slo_esp@mapama.es
https://psma-gies.fao.org/designated-ports/view/9d9c20d3-e686-4872-8907-96bb97e6dd02,–,Canada,124,CA,CAN,4720N 05250W,"Bay Bulls, NL",–,–,–,–,–,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/dabe7be3-2371-43b3-bfb0-e66197e08fc8,–,Canada,124,CA,CAN,4735N 05318W,"Bay Roberts, NL",–,–,–,–,–,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/43e88c82-3aab-4e52-828c-b4f6cc20678c,–,Mozambique,508,MZ,MOZ,Sofala,Beira,–,–,–,–,–,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/07137d04-c86b-472b-afcf-cb74fc2cbf57,–,United Kingdom,826,GB,GBR,Belfast,Belfast,–,–,–,Belfast Harbour Commissioners,"Harbour Office Corporation Square Belfast, Northern Ireland BT1 3AL",+44 028 90 554422,+44 028 90 554411,–,info@belfast-harbour.co.uk
https://psma-gies.fao.org/designated-ports/view/0bb6b63f-6cc5-43e0-847c-506c06d1b936,–,Spain,724,ES,ESP,PAÍS VASCO,BILBAO,–,N43°16'47'',W2°58'0'',"SUBDIRECCIÓN GENERAL DE VIGILANCIA PESQUERA Y LUCHA CONTRA LA PESCA ILEGAL  (SECRETARIA GENERAL DE PESCA) MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",Calle Velázquez nº147 28002 - Madrid España,+34 913471949,+34 913471512,–,iuu_slo_esp@mapama.es
https://psma-gies.fao.org/designated-ports/view/dfe196f8-5426-467d-92d8-0e2530e3d23f,–,Indonesia,360,ID,IDN,Bitung,Bitung Fishing Port,Pelabuhan Perikanan Samudera Bitung,N1°26'47'',E125°12'30'',Directorate General of Capture Fisheries,"Kelurahan Aertembaga Satu, Kecamatan Aertembaga, Kota Bitung, Provinsi Sulawesi Utara",+62 043836775,+62 043834393,–,indonesia.psm@kkp.go.id
https://psma-gies.fao.org/designated-ports/view/19604869-b33c-4516-b44f-06850c6d23b8,–,Norway,578,NO,NOR,Bodø,Bodø,–,–,–,–,–,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/74473d14-ce6e-41a0-a1a0-3264617d8ab7,–,Canada,124,CA,CAN,48 39N 053 06W,"Bonavista, Newfoundland",–,–,–,–,–,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/22bc8416-ff13-472f-b130-c80cd620263d,–,"Korea, Republic of",410,KR,KOR,Boryeong,Boryeong Port,–,–,–,–,–,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/16344844-415c-486b-8b4f-0b9807b6d698,–,France,250,FR,FRA,France,Boulogne-sur-Mer,–,–,–,–,–,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/36ea606a-d69d-4481-bb38-8bfb85033e53,–,Germany,276,DE,DEU,Bremerhaven,Bremerhaven,–,N53°32'2'',E8°34'4'',Staatliches Fischereiamt Bremerhaven,Fischkai 31 22572 Bremerhaven Germany,+49 471972540,+49 47172664,–,–
https://psma-gies.fao.org/designated-ports/view/0f8c30ec-4719-4361-bd9c-7847e237761f,–,France,250,FR,FRA,France,Brest,–,–,–,–,–,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/02c834e7-3f51-49f2-ab76-2e8783d3d7b7,–,Italy,380,IT,ITA,Brindisi,Brindisi,–,–,–,Capitaneria di porto di Brindisi,Viale Regina Margherita n. 1 - 72100 Brindisi (BR),+39 0831521022 - 0831521023,–,–,cp-brindisi@pec.mit.gov.it
https://psma-gies.fao.org/designated-ports/view/47b5a8a0-f3a2-447c-b551-99fc399c2b33,–,United Kingdom,826,GB,GBR,Brixham,Brixham,–,–,–,–,"Torbay Harbour Office New Fish Quay Brixham, Devon TQ5 8AJ",+44 01803 853321,–,–,marine.services@torbay.gov.uk
https://psma-gies.fao.org/designated-ports/view/8f200a05-1e2e-4ce1-b0a2-d4c91e904cfa,–,United Kingdom,826,GB,GBR,Buckie,Buckie,Buckie (Cluny) Harbour,–,–,Moray Council,"Harbour Office, 28b Commercial Road Buckie, Scotland AB56 1UN",+44 01542831700,–,–,William.mackay@.moray.gov.uk
https://psma-gies.fao.org/designated-ports/view/3e913566-4174-4cc0-a8e9-6c0420793c14,–,Australia,36,AU,AUS,Bunbury,Bunbury Port,–,S33°19'0'',E115°37'59'',Southern Ports Authority,54 Casuarina Drive  Bunbury WA 6230,+61 8 9729 6500,–,–,enquiries.bunbury@southernports.com.au
https://psma-gies.fao.org/designated-ports/view/ccb7a78a-e95d-431a-9639-4d7dea5ce785,–,Indonesia,360,ID,IDN,Padang,Bungus Fishing Port,Pelabuhan Perikanan Samudera Bungus,S1°1'47'',E100°23'48'',Directorate General of Capture Fisheries,"Jalan Raya Padang-Painan KM. 16 Padang, Desa Labuhan Padang Sumatera Barat",+62 751751121,+62 751751122,–,indonesia.psm@kkp.go.id
https://psma-gies.fao.org/designated-ports/view/05218bb9-f7d9-4f58-9bd4-6a989dd6f304,–,Spain,724,ES,ESP,GALICIA,BURELA (NO PIF),–,–,–,"SUBDIRECCIÓN GENERAL DE VIGILANCIA PESQUERA Y LUCHA CONTRA LA PESCA ILEGAL - SECRETARÍA GENERAL DE PESCA - MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN","C/ Velázquez, 147 28071 MADRID ESPAÑA",+34 913471949,–,–,iuu_slo_esp@mapa.es
https://psma-gies.fao.org/designated-ports/view/a9edb778-72b7-4e91-a34c-8ca2eb996469,–,"Korea, Republic of",410,KR,KOR,Busan,Busan Port,–,–,–,–,–,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/b8442417-93f4-406c-a5c8-d24366f3bd5f,–,Norway,578,NO,NOR,Båtsfjord,Båtsfjord,–,–,–,–,–,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/eabcd22a-33cd-4f24-9c74-913254dc5e9f,–,Spain,724,ES,ESP,ANDALUCIA,CADIZ,–,N36°32'4'',W6°17'1'',"SUBDIRECCIÓN GENERAL DE VIGILANCIA PESQUERA Y LUCHA CONTRA LA PESCA ILEGAL  (SECRETARIA GENERAL DE PESCA) MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",Calle Velázquez nº147 28071 - Madrid España,+34 913471949,913471512,–,iuu_slo_esp@mapama.es
https://psma-gies.fao.org/designated-ports/view/b1acc8c7-5bb8-4f40-b0b1-a9679aac1486,–,France,250,FR,FRA,France,Caen,–,–,–,–,–,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/707ff41d-abfe-49db-bf83-9d0fd73d5a35,–,Australia,36,AU,AUS,Cairns,Cairns Seaport,–,–,–,Ports North,1 Spence Street (PO Box 594) Cairns QLD 4870,+61 7 4052 3866,+61 7 4052 3810,–,marina@portsnorth.com.au
https://psma-gies.fao.org/designated-ports/view/d22b8f01-5de0-485c-b6b3-b1f5b72d6001,–,Peru,604,PE,PER,PROVINCIA CONSTITUCIONAL DEL CALLAO,CALLAO,–,S12°2'12'',E77°13'42'',AUTORIDAD PORTUARIA NACIONAL - APN,–,+51 16309600,–,–,–
https://psma-gies.fao.org/designated-ports/view/3104dc26-f775-4fd6-8632-258d47800a20,–,United Kingdom,826,GB,GBR,Campbeltown,Campbeltown,–,–,–,Argyll & Brute Council,"Engineers Office, Manse Brae Lochgilhead PA31 8RD",+44 01546 604656,+44 01546 604694,–,stephen.scally@argyll-bute.gov.uk
https://psma-gies.fao.org/designated-ports/view/0e37cf50-55ec-464b-8b21-7eb6e6c616c8,–,Canada,124,CA,CAN,4520N 06100W,"Canso, NS",–,–,–,–,–,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/12f1c544-a6d3-463a-abb7-c1ddaeef6dfd,–,Spain,724,ES,ESP,MURCIA,CARTAGENA,–,N37°35'56'',W0°58'29'',"SUBDIRECCIÓN GENERAL DE CONTROL E INSPECCIÓN  (SECRETARIA GENERAL DE PESCA) MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",Calle Velázquez nº147 28071 - Madrid España,+34 913471949,913471512,–,iuu_slo_esp@mapama.es
https://psma-gies.fao.org/designated-ports/view/fdd0dd86-d4d7-4f97-bd32-d2beda552264,–,France,250,FR,FRA,France,Carteret,–,–,–,–,–,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/2ee372fa-f78c-4c94-9cb8-50e06185752c,–,Morocco,504,MA,MAR,MAROC,CASABLANCA,–,N33°36'0'',W7°37'0'',Délégation des Pêches Maritimes de Casablanca,Rue Tiznit-2000 Casablanca,+212 522 27 59 74,+212 522 49 11 64,–,elouadaa@mpm.gov.ma
https://psma-gies.fao.org/designated-ports/view/67b01450-0eed-446c-a272-f534357606a3,–,Australia,36,AU,AUS,Norfolk Island,Cascade Bay,–,S29°1'0'',E167°58'0'',Norfolk Island Regional Council,–,+61 +6723 22244,–,–,customercare@nirc.gov.nf
https://psma-gies.fao.org/designated-ports/view/d26c60a8-bf47-4b15-9730-38f678984f78,–,Spain,724,ES,ESP,COMUNIDAD VALENCIANA,CASTELLÓN,–,N39°58'16'',E0°0'52'',"SUBDIRECCIÓN GENERAL DE CONTROL E INSPECCIÓN  (SECRETARIA GENERAL DE PESCA) MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN",Calle Velázquez nº147 28071 - Madrid España,+34 913471949,913471512,–,iuu_slo_esp@mapama.es
https://psma-gies.fao.org/designated-ports/view/db732189-f438-407d-a80b-765cd3a77feb,–,Ireland,372,IE,IRL,"Castletownbere, Cork, Republic of Ireland",Castletownbere,As above,N51°39'3'',W9°54'23'',Sea Fisheries Protection Authority,"Castletownbere, Harbour Office, Castletownbere, Co Cork",+353 27 70439,+353 27 70094,–,castletownbere@sfpa.ie
https://psma-gies.fao.org/designated-ports/view/6151f366-6495-48c5-9923-5441513d27d9,–,Spain,724,ES,ESP,GALICIA,CELEIRO (NO PIF),–,N43°40'43'',W7°35'40'',"SUBDIRECCIÓN GENERAL DE VIGILANCIA PESQUERA Y LUCHA CONTRA LA PESCA ILEGAL - SECRETARIA GENERAL DE PESCA - MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACION",C/ Velazquez 147 28071 Madrid ESPAÑA,+34 913471949,–,–,iuu_slo_esp@mapa.es
https://psma-gies.fao.org/designated-ports/view/3cd4f006-8034-492a-b45e-94a6b4405cbb,–,New Zealand,554,NZ,NZL,Wellington,CentrePort,CentrePort Ltd,–,–,CentrePort Ltd,CentrePort Wellington CentrePort House Harbour Quays Wellington 6011 New Zealand,+64 4 495 3800,+64 4 495 3820,–,customerservices@centreport.co.nz
https://psma-gies.fao.org/designated-ports/view/69765f62-f5fc-4643-8339-b6d4b9169d40,–,Spain,724,ES,ESP,CEUTA,CEUTA (NO PCF),–,N35°53'36'',W5°18'52'',"SUBDIRECCIÓN GENERAL DE VIGILANCIA PESQUERA Y LUCHA CONTRA LA PESCA ILEGAL - SECRETARIA GENERAL DE PESCA - MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACION",C/ Velazquez 147 28071 Madrid ESPAÑA,–,–,–,iuu_slo_esp@mapa.es
https://psma-gies.fao.org/designated-ports/view/da73373b-c785-467e-94b2-41153fc56179,–,Trinidad and Tobago,780,TT,TTO,Chaguaramas,Chaguaramas,–,N10°40'34'',–,–,–,+1 868 223 4351,+1 868 627 9886,–,ralfred@mowt.gov.tt
https://psma-gies.fao.org/designated-ports/view/be147296-4458-4369-84d5-d711b64a89c9,–,Thailand,764,TH,THA,"1258/1 Mahachai, Mueang Samut Sakhon, Samut Sakhon 74000",Chainavee port,–,–,–,Fishery Inspection Regional Center 5 (Samut Sakhon),"1024 Wichianchodok Road Sub. Mahachai  A. Muang Samut sakorn, Samutsakhon 74000",+66 34422643,+66 34422644,–,sk_inspected@windowslive.com
https://psma-gies.fao.org/designated-ports/view/92e78b21-5372-476a-806b-3b773ee9c3d1,–,France,250,FR,FRA,France,Cherbourg,–,–,–,–,–,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/27436b95-5104-44a3-a1fa-b76114c3817a,–,Bangladesh,50,BD,BGD,"Chattogram, Bangladesh",Chittagong Port,–,–,–,Chittagong Port Authority,"Bandar Bhaban, P.O.Box-2013, Chattogram-4100, Bangladesh",+880 2-333322200,+880 2-333310889,–,info@cpa.gov.bd
https://psma-gies.fao.org/designated-ports/view/fbd89b69-2904-4cb7-90c5-8e64dc1e022f,–,Cuba,192,CU,CUB,"Φ-22°02'0"" N ʎ- 80°27'10""W",CIENFUEGOS,–,–,–,A.M.T.OCENTRO,Calle 41 Numero 6011entro 60 y 62 Cienfuegos,+53 43534470,–,–,Diretor@aptcfg.cu
https://psma-gies.fao.org/designated-ports/view/fb666692-63dc-40e3-9471-0eb399bb329d,–,Italy,380,IT,ITA,Civitavecchia,Civitavecchia,–,–,–,Direzione Marittima di Civitavecchia,Calata Laurenti n. 16 - 00053 Civitavecchia (RM),+39 076619431,–,–,cp-civitavecchia@pec.mit.gov.it
https://psma-gies.fao.org/designated-ports/view/c4eb8404-29c6-4439-a1c1-fef4aaa19e58,–,Canada,124,CA,CAN,50 36 N 127 35 W,"Coal Harbour, BC",–,–,–,–,–,–,–,–,–
https://psma-gies.fao.org/designated-ports/view/d1b6be1b-4918-4647-a6a6-8504c106b5f4,–,Australia,36,AU,AUS,New South Wales,Coffs Harbour International Marina,Coffs Harbour,–,–,Coffs Harbour Marina Pty Ltd,"1 Marina Dr, Coffs Harbour NSW 2450",+61 (02) 6651 4222,–,–,admin.coffs@starmarinas.com.au
https://psma-gies.fao.org/designated-ports/view/1cc92c3f-1f6c-4001-8cf6-4a742a895b10,–,Sri Lanka,144,LK,LKA,–,Colombo commercial port,–,N6°57'12'',E79°50'47'',Sri Lanka Ports Authority,"NO.19,CHAITHYA ROAD,COLOMBO 01,SRI LANKA",+94 11 248 2213,+94 11 232 7160,–,nirmalsilva@slpa.lk
